name,alt_name,orig_name,state,county1,county2,county3,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,year_label,end_label
LOWER SANDUSKY,NA,LOWER SANDUSKY,OH,SANDUSKY,NA,NA,Sandusky,1800,1849,TRUE,4,96178,TRUE,49,TRUE,LOWER SANDUSKY,SANDUSKY,OH,1040674,Populated Place,Lower Sandusky,Sandusky,41.35033,-83.12186,192,1,41.35033,-83.12186,1770-1820,1821-1870
CICERO CENTRE,CICERO CENTER,CICERO CENTRE(ER),NY,ONONDAGA,NA,NA,Onondaga,1852,1903,FALSE,4,10871,TRUE,51,TRUE,CICERO CENTER,ONONDAGA,NY,946695,Populated Place,Cicero Center,Onondaga,43.178957,-76.0407538,122,1,43.178957,-76.0407538,1821-1870,1871-1920
VERBANK VILLAGE,NA,VERBANK VILLAGE,NY,DUTCHESS,NA,NA,Dutchess,1880,1941,TRUE,1,59399,TRUE,61,TRUE,VERBANK VILLAGE,DUTCHESS,NY,968485,Populated Place,Verbank Village,Dutchess,41.7284273,-73.728463,155,1,41.7284273,-73.728463,1871-1920,1921-2000
GOSS,NA,GOSS,LA,DE SOTO,NA,NA,De Soto,1914,1935,TRUE,2,23200,TRUE,21,TRUE,GOSS,DE SOTO,LA,543249,Populated Place,Goss,De Soto,32.0612727,-93.5579558,61,1,32.0612727,-93.5579558,1871-1920,1921-2000
VALLEY GROVE,NA,VALLEY GROVE,AR,MONROE,NA,NA,Monroe,1848,1883,FALSE,5,59107,TRUE,35,TRUE,VALLEY GROVE,MONROE,AR,61119,Cemetery,Valley Grove Cemetery,Monroe,34.4556495,-91.0770556,51,1,34.4556495,-91.0770556,1821-1870,1871-1920
ACHATES,NA,ACHATES,AL,TALLADEGA,NA,NA,Talladega,1882,1894,FALSE,6,122,TRUE,12,TRUE,ACHATES,TALLADEGA,AL,164208,Populated Place,Achates,Talladega,33.2023374,-86.4083116,151,1,33.2023374,-86.4083116,1871-1920,1871-1920
ROUGH AND READY,NA,ROUGH AND READY,CA,NEVADA,NA,NA,Nevada,1851,NA,FALSE,0,156761,TRUE,NA,TRUE,ROUGH AND READY,NEVADA,CA,2769477,Post Office,Rough and Ready Post Office,Nevada,39.22961,-121.1379,576,1,39.22961,-121.1379,1821-1870,for business
AFTON,NA,AFTON,MI,CHEBOYGAN,NA,NA,Cheboygan,1906,NA,TRUE,0,64647,TRUE,NA,TRUE,AFTON,CHEBOYGAN,MI,2369426,Post Office,Afton Post Office (historical),Cheboygan,45.3738889,-84.4966667,240,1,45.3738889,-84.4966667,1871-1920,for business
HANOVER,NA,HANOVER,MA,PLYMOUTH,NA,NA,Plymouth,1796,NA,TRUE,0,24974,TRUE,NA,TRUE,HANOVER,PLYMOUTH,MA,1976774,Post Office,Hanover Post Office,Plymouth,42.1149091,-70.8210063,17,1,42.1149091,-70.8210063,1770-1820,for business
GENTRYS MILL,GENTRY'S MILL,GENTRY(')S MILL,KY,ADAIR,NA,NA,Adair,1890,1940,TRUE,1,84670,TRUE,50,TRUE,GENTRYS MILL,ADAIR,KY,508079,Populated Place,Gentrys Mill,Adair,37.08479,-85.15357,263,1,37.08479,-85.15357,1871-1920,1921-2000
